student_id|level|course|grade|major
ppVGBRKhtqqyxnVO|Freshman|SPAN:100|A|Business
PiPkSgMGbFIu5RwR|Freshman|CSI:160|S|International Relations
PiPkSgMGbFIu5RwR|Sophomore|EES:107|C|International Relations
PiPkSgMGbFIu5RwR|Senior|SPAN:201|B|International Relations
PiPkSgMGbFIu5RwR|Junior|ENTR:200|B+|International Relations
PiPkSgMGbFIu5RwR|Sophomore|SPAN:140|D+|International Relations
PiPkSgMGbFIu5RwR|Freshman|POLI:140|C|International Relations
PiPkSgMGbFIu5RwR|Sophomore|KORE:210|A|International Relations
PiPkSgMGbFIu5RwR|Sophomore|SPAN:309|A|International Relations
PiPkSgMGbFIu5RwR|Sophomore|ENTR:134|B|International Relations
PiPkSgMGbFIu5RwR|Sophomore|HIST:110|B+|International Relations
PiPkSgMGbFIu5RwR|Sophomore|ENGL:120|A-|International Relations
PiPkSgMGbFIu5RwR|Freshman|RHET:106|A-|International Relations
x9wNE71Wzj7cIiGV|Freshman|ESL:420|B|Medical Engineering
Ilym6N264yshysce|Junior|BIOL:114|B|Psychology
Ilym6N264yshysce|Senior|PSY:281|A-|Psychology
Ilym6N264yshysce|Freshman|PSY:100|D+|Psychology
Ilym6N264yshysce|Sophomore|PSY:270|C+|Psychology
Ilym6N264yshysce|Junior|RHET:103|A-|Psychology
Ilym6N264yshysce|Junior|CSI:180|S|Psychology
Ilym6N264yshysce|Sophomore|ASTR:107|C+|Psychology
Ilym6N264yshysce|Freshman|CHEM:107|B|Psychology
Ilym6N264yshysce|Senior|SPAN:100|B+|Psychology
Ilym6N264yshysce|Junior|LLS:109|S|Psychology
Ilym6N264yshysce|Sophomore|PSY:260|A|Psychology
Ilym6N264yshysce|Senior|RCE:417|B|Psychology
Ilym6N264yshysce|Junior|PSY:301|A-|Psychology
Ilym6N264yshysce|Junior|PSY:240|C|Psychology
Ilym6N264yshysce|Junior|HPAS:132|S|Psychology
Ilym6N264yshysce|Junior|CS:102|C+|Psychology
Ilym6N264yshysce|Freshman|CW:180|A|Psychology
Ilym6N264yshysce|Junior|SOC:281|C|Psychology
Ilym6N264yshysce|Freshman|MATH:100|B-|Psychology
Ilym6N264yshysce|Sophomore|RHET:106|B+|Psychology
Ilym6N264yshysce|Freshman|LING:103|B|Psychology
Ilym6N264yshysce|Freshman|MATH:112|B+|Psychology
Ilym6N264yshysce|Freshman|ENGL:120|A|Psychology
Ilym6N264yshysce|Junior|RCE:419|A-|Psychology
Ilym6N264yshysce|Senior|ANTH:216|C|Psychology
Ilym6N264yshysce|Freshman|IAP:102|S|Psychology
Ilym6N264yshysce|Senior|ANTH:130|B-|Psychology
Ilym6N264yshysce|Senior|PSY:333|B+|Psychology
Ilym6N264yshysce|Senior|SPAN:140|B|Psychology
Ilym6N264yshysce|Senior|PHIL:163|B+|Psychology
Ilym6N264yshysce|Junior|LLS:108|S|Psychology
Ilym6N264yshysce|Junior|SOC:102|C|Psychology
kO4XKESuy7bn0XLg|Senior|HPAS:143|S|Psychology
